,Postcode,Ed_Score
135,10470,0.3898676761602636
136,10471,0.3556916153703795
137,10472,0.3239085448564823
138,10473,0.17931920923464653
139,10474,0.2926962557225401
140,10475,0.4173264970411578
141,11001,0.4454444320386202
142,11004,0.4765605614334449
143,11005,0.5114262884019797
144,11040,0.5511159359480292
145,11096,0.5972432300134036
146,11101,0.6523964371661057
147,11102,0.9296428929506491
148,11103,0.24515551829005855
149,11104,0.34115492804097336
150,11105,0.46771741778427584
151,11106,0.6705032619232607
152,11109,0.4764786122603713
153,11201,0.3508305559160952
154,11203,0.4220421620875424
155,11204,0.3338377699023668
156,11205,0.44576458623394094
157,11206,0.33781824846141284
158,11207,0.17333604437818534
159,11208,0.17838544110562896
160,11209,0.2882843179843006
161,11210,0.734003867681025
162,11211,0.4369515221546071
163,11212,0.1326406057672625
164,11213,0.3516467923228351
165,11214,0.42139292201448963
166,11215,0.44072886239572506
168,11217,0.5003348752727408
170,11219,0.7043258370497584
171,11220,0.5011818293568286
172,11221,0.2604302165665389
173,11222,0.31062609742906966
174,11223,0.45973263403963704
175,11224,0.2356243698971256
176,11225,0.2973092577922754
177,11226,0.2421010392025691
178,11228,0.3182753503538924
179,11229,0.41397144470775205
180,11230,0.6564349281245522
181,11231,0.750650850337203
182,11232,0.32243615335970033
183,11233,0.30123234859643955
184,11234,0.3713647572580192
185,11235,0.4479412306225331
186,11236,0.37076544666023115
187,11237,0.39075741876215003
188,11238,0.34946386701247556
189,11239,0.3576204077350044
190,11251,0.3659936236271845
191,11354,0.3745964393514933
192,11355,0.28814079878525223
193,11356,0.4194586845371923
194,11357,0.6270353029110521
199,11362,0.9804879047583512
200,11363,0.8204332677934786
201,11364,0.7162653794412159
202,11365,0.7043630948858287
203,11366,0.6579578638040734
204,11367,0.5200990357435572
205,11368,0.6961184740536048
206,11369,0.6033439660802521
207,11370,0.5319641701006618
208,11371,0.47346983041431184
209,11372,0.423574347711026
210,11373,0.37981123436347525
211,11374,0.48655252837537694
212,11375,0.6455307971380287
213,11377,0.5023146433521057
214,11378,0.3952252433814546
215,11379,0.30572498376334695
216,11385,0.22572235287947795
217,11411,0.5302352614092792
218,11412,0.8190388560697238
219,11413,0.5450104029141397
220,11414,0.6625295351650521
221,11415,0.8328334436860307
223,11417,0.45271316095607084
224,11418,0.14825993125768955
225,11419,0.20490372671821028
226,11420,0.2693943153339145
227,11421,0.3458421885765579
228,11422,0.442238650307943
229,11423,0.5778768775490563
231,11427,0.24171332717139327
232,11428,0.31271395477762964
233,11429,0.3929091321654862
234,11430,0.48875979764403554
235,11432,0.6142955281041869
237,11434,0.32416358324041417
238,11435,0.2667780200935368
239,11436,0.21591380773841168
240,11451,0.16974283400692822
241,11691,0.12704793191045297
242,11692,0.19742600682138253
243,11693,0.277434719456688
244,11694,0.3737719789010066
245,11697,0.3737719789010066
